"lat","lon","temp","dew.point","ceiling.ht","wind.dir","wind.sp","atm.press","rh"
32.483,-80.717,27.7666666666667,21.1333333333333,22000,315,2.85,1011,68.2417315876496
32.55,-80.45,25.4833333333333,21.2,NA,298.333333333333,1.08333333333333,1010.5,77.9967169403305
32.782,-79.925,25.9833333333333,NA,NA,295,3.35,1010.06666666667,NA
32.899,-80.041,25.65,19.9,22000,321.666666666667,4.56666666666667,1010.15,71.3104807684669
32.9,-80.033,25.3,19.7,22000,320,4.65,1010.25,71.8981571163806
33.35,-79.183,24.8833333333333,21.5166666666667,NA,296.666666666667,4.7,1007.83333333333,81.8402868468833
33.462,-80.858,26.3,18.5,22000,317.5,2.41666666666667,1010.66666666667,63.7136794242422
33.615,-81.084,26.3333333333333,14.55,22000,306,2.66666666666667,1011.28333333333,50.6357860320875
33.683,-78.933,24.9571428571429,20.6428571428571,22000,300,7.64285714285714,1008.3,77.2703874058021
33.816,-78.72,24.9,20,22000,302.857142857143,4.82857142857143,1007.63333333333,74.6066634905648
33.942,-81.118,27.7833333333333,18.3333333333333,22000,308.333333333333,3.68333333333333,1010.46666666667,56.9978985933786
33.95,-81.117,25.6,18.3,22000,300,2.6,1010.2,64.1085361466218
33.967,-80.8,27.0833333333333,18.7166666666667,16546.3333333333,310,3.53333333333333,1010.91666666667,62.0999709677025
33.967,-80.467,25.9833333333333,19.1166666666667,19603.3333333333,305,4.18333333333333,1010.36666666667,66.5752474878314
33.971,-80.996,27.0166666666667,18.5,22000,323.333333333333,1.96666666666667,1010.73333333333,60.2792412628808
34.1,-81.267,25.45,NA,NA,303.333333333333,1.51666666666667,1010.25,NA
34.188,-79.731,26.2,19.3333333333333,22000,323.333333333333,4.78333333333333,1009.06666666667,66.2961173990424
34.2,-77.83,23.95,NA,NA,288.333333333333,9.18333333333333,1001.76666666667,NA
34.2,-76.67,23.4166666666667,NA,NA,323.333333333333,13.8,994.66,NA
34.249,-82.159,25.3833333333333,18.6,22000,286.666666666667,1.98333333333333,1012.01666666667,67.9531319098938
34.267,-77.9,24.45,20,NA,295,10.8,1004.35,76.7351099213288
34.268,-77.9,23.8111111111111,NA,8562.45454545455,290.909090909091,10.7181818181818,1004.21666666667,80.45769623451
34.466,-79.89,25.66,20.68,22000,320,5.16,1009.76,74.324282451005
34.498,-82.71,25.0833333333333,17.8666666666667,22000,290,2.46666666666667,1011.65,67.6084809429143
34.62,-76.52,23.7666666666667,21.45,NA,301.666666666667,21.6333333333333,992.98,87.3219609293005
34.672,-82.886,24.65,16.8666666666667,22000,306.666666666667,2.95,1012.1,64.9203752364342
34.708,-77.44,22.4375,20.5,935.5,303.125,11.6875,1000.98333333333,89.3500528980101
34.733,-76.657,23.5,NA,1062.28571428571,291.428571428571,14.4857142857143,998.75,85.8193988242683
34.792,-79.366,25.7166666666667,19.25,22000,330,5.33333333333333,1008.33333333333,68.0365318239038
34.833,-77.617,23.05,20.75,830.583333333333,295,5.96666666666667,1002.36666666667,87.4642749469942
34.846,-82.346,26.6666666666667,16.2833333333333,22000,282,2.75,1011.83333333333,54.3521682498541
34.884,-82.221,25.65,15.3666666666667,22000,310,3.08333333333333,1011.41666666667,54.3871601932087
34.9,-82.217,25.3,15.25,NA,310,2.3,1011.45,54.9640299186748
34.9,-76.883,23.2461538461538,20.0538461538462,919.153846153846,309.230769230769,15.9692307692308,996.55,82.5142450930632
34.987,-81.058,25.3833333333333,17.5,22000,221.666666666667,2.43333333333333,1010.25,63.2020633020489
34.991,-78.88,24.02,19.96,13477.5,318,7.16,1006.41666666667,78.6934026276357
35.017,-80.621,25.8333333333333,17.8666666666667,22000,324,3.51666666666667,1010.33333333333,62.0047475710641
35.033,-79.5,24.5555555555556,19.3,16800.3333333333,231.111111111111,4.67777777777778,1009.9,73.2347717295933
35.068,-77.048,22.1428571428571,21.2714285714286,483.571428571429,307.142857142857,7.72857142857143,1003.15,94.8960795271651
35.133,-78.933,23.5526315789474,19.4894736842105,14153.0526315789,318.421052631579,6.85263157894737,1006.48947368421,78.8858580693087
35.174,-79.009,24.34,18.7133333333333,16482.8666666667,335.333333333333,7.26666666666667,1007.37333333333,71.4288638005117
35.197,-81.156,26.85,17.05,22000,350,1.63333333333333,1010.63333333333,56.1031750691522
35.208,-75.703,24.66,NA,NA,211.666666666667,22.4833333333333,978.95,NA
35.217,-80.933,25.85,17.8,22000,315,2.05,1010.65,62.3228032659124
35.224,-80.955,25.75,17.6833333333333,17206.6666666667,316,2.33333333333333,1010.56666666667,62.2353197890619
35.233,-75.622,25.6,25.45,365.75,117.5,21.625,967.7,99.1250712585331
35.237,-79.391,23.8571428571429,18.6714285714286,18465.3333333333,340,3.17142857142857,1009.18333333333,73.1860551502134
35.344,-77.965,23.4133333333333,20.14,3433.26666666667,317.333333333333,7.78666666666667,1002.79333333333,82.5014801973642
35.432,-82.538,21.7833333333333,15.4,22000,351.666666666667,4.55,1012.83333333333,68.1852129069174
35.433,-82.55,18.9,15.6,NA,360,2.6,1012.7,81.2777381452546
35.742,-81.382,23.5166666666667,16.95,22000,290,3.18333333333333,1009.76666666667,67.8857247179974
35.8,-75.53,24.525,NA,NA,101.666666666667,13.4666666666667,987,NA
35.855,-77.893,21.8846153846154,NA,530,330.769230769231,8.93846153846154,1003.66666666667,87.7391307713323
35.867,-78.783,21.1,17.8,NA,350,5.1,1005.9,81.5361045043264
35.892,-78.782,22.7571428571429,17.8714285714286,3635.85714285714,252.857142857143,4.7,1006.98333333333,74.4924363287813
36.047,-79.477,24.525,16.875,14066.25,335,5.2625,1008.71666666667,63.2855324836816
36.083,-79.95,24.45,18.05,NA,340,4.65,1009.4,68.4527875422269
36.097,-79.943,23.6875,17.7875,4705.375,348.75,4.8125,1009.26666666667,70.2523544564888
36.134,-80.222,24.3666666666667,17.2166666666667,22000,283.333333333333,3.95,1010.15,65.3436727308522
36.183,-75.75,22.6833333333333,NA,NA,78.3333333333333,19.9,990.916666666667,NA
